                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9374,                0.96386,                0.99406,                 2.4976,               0.070067,              0.0033258,              0.0033258
                      2,                0.25876,                0.99554,                      1,                 2.3036,               0.039936,              0.0065273,              0.0065273
                      3,                0.08577,                0.99752,                      1,                 2.2923,              0.0096717,              0.0095968,              0.0095968
                      4,                0.05505,                0.99703,                      1,                 2.2905,               0.009406,               0.009406,               0.009406
                      5,                0.04289,                0.99901,                      1,                 2.2877,               0.009208,               0.009208,               0.009208
                      6,                 0.0255,                      1,                      1,                 2.2861,                0.00901,                0.00901,                0.00901
                      7,                0.02554,                 0.9995,                      1,                  2.286,               0.008812,               0.008812,               0.008812
                      8,                0.02122,                 0.9995,                      1,                 2.2866,               0.008614,               0.008614,               0.008614
                      9,                0.02199,                      1,                      1,                 2.2855,               0.008416,               0.008416,               0.008416
                     10,                0.01832,                      1,                      1,                 2.2854,               0.008218,               0.008218,               0.008218
                     11,                0.01799,                      1,                      1,                 2.2855,                0.00802,                0.00802,                0.00802
                     12,                0.01653,                      1,                      1,                 2.2854,               0.007822,               0.007822,               0.007822
                     13,                0.01985,                      1,                      1,                 2.2855,               0.007624,               0.007624,               0.007624
                     14,                0.01485,                      1,                      1,                 2.2853,               0.007426,               0.007426,               0.007426
                     15,                0.01232,                      1,                      1,                 2.2854,               0.007228,               0.007228,               0.007228
                     16,                 0.0125,                      1,                      1,                 2.2853,                0.00703,                0.00703,                0.00703
                     17,                0.01282,                      1,                      1,                 2.2854,               0.006832,               0.006832,               0.006832
                     18,                0.01109,                      1,                      1,                 2.2854,               0.006634,               0.006634,               0.006634
                     19,                0.01196,                      1,                      1,                 2.2852,               0.006436,               0.006436,               0.006436
                     20,                0.01026,                      1,                      1,                 2.2852,               0.006238,               0.006238,               0.006238
                     21,                0.00971,                      1,                      1,                 2.2852,                0.00604,                0.00604,                0.00604
                     22,                0.00723,                      1,                      1,                 2.2852,               0.005842,               0.005842,               0.005842
                     23,                0.00687,                      1,                      1,                 2.2852,               0.005644,               0.005644,               0.005644
                     24,                0.00573,                      1,                      1,                 2.2852,               0.005446,               0.005446,               0.005446
                     25,                0.00818,                      1,                      1,                 2.2852,               0.005248,               0.005248,               0.005248
                     26,                0.00843,                      1,                      1,                 2.2852,                0.00505,                0.00505,                0.00505
                     27,                0.00821,                      1,                      1,                 2.2852,               0.004852,               0.004852,               0.004852
                     28,                0.00736,                      1,                      1,                 2.2852,               0.004654,               0.004654,               0.004654
                     29,                0.00542,                      1,                      1,                 2.2852,               0.004456,               0.004456,               0.004456
                     30,                0.00589,                      1,                      1,                 2.2852,               0.004258,               0.004258,               0.004258
                     31,                0.00662,                      1,                      1,                 2.2852,                0.00406,                0.00406,                0.00406
                     32,                0.00585,                      1,                      1,                 2.2852,               0.003862,               0.003862,               0.003862
                     33,                0.00568,                      1,                      1,                 2.2852,               0.003664,               0.003664,               0.003664
                     34,                0.00534,                      1,                      1,                 2.2852,               0.003466,               0.003466,               0.003466
                     35,                0.00465,                      1,                      1,                 2.2852,               0.003268,               0.003268,               0.003268
                     36,                0.00439,                      1,                      1,                 2.2852,                0.00307,                0.00307,                0.00307
                     37,                0.00542,                      1,                      1,                 2.2852,               0.002872,               0.002872,               0.002872
                     38,                0.00343,                      1,                      1,                 2.2852,               0.002674,               0.002674,               0.002674
                     39,                0.00495,                      1,                      1,                 2.2852,               0.002476,               0.002476,               0.002476
                     40,                0.00206,                      1,                      1,                 2.2852,               0.002278,               0.002278,               0.002278
                     41,                0.00438,                      1,                      1,                 2.2852,                0.00208,                0.00208,                0.00208
                     42,                0.00337,                      1,                      1,                 2.2852,               0.001882,               0.001882,               0.001882
                     43,                0.00502,                      1,                      1,                 2.2852,               0.001684,               0.001684,               0.001684
                     44,                0.00274,                      1,                      1,                 2.2852,               0.001486,               0.001486,               0.001486
                     45,                0.00576,                      1,                      1,                 2.2852,               0.001288,               0.001288,               0.001288
                     46,                0.00234,                      1,                      1,                 2.2852,                0.00109,                0.00109,                0.00109
                     47,                0.00413,                      1,                      1,                 2.2852,               0.000892,               0.000892,               0.000892
                     48,                0.00345,                      1,                      1,                 2.2852,               0.000694,               0.000694,               0.000694
                     49,                0.00369,                      1,                      1,                 2.2852,               0.000496,               0.000496,               0.000496
                     50,                0.00422,                      1,                      1,                 2.2852,               0.000298,               0.000298,               0.000298
